Source,Timestamp,UserEmail,Campaignname,CampaignID,ResourceType,Operation,ChangedFields,Description
google_ads,2026-09-07 14:10:06.320223,pankanaturalhealth@gmail.com,Leads-Search-1,22767146837,CAMPAIGN_BUDGET,UPDATE,amountMicros,"Updated campaign budget ""Leads-Search-1""; changed: amountmicros"
google_ads,2026-09-07 14:05:54.089131,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP_CRITERION,CREATE,adGroup;criterionId;keyword.text;negative;resourceName;status,"Created ad group criterion ""Leads-Search-1"""
google_ads,2026-09-07 14:04:05.283762,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP_CRITERION,UPDATE,cpcBidMicros,"Updated ad group criterion ""Leads-Search-1""; changed: cpcbidmicros"
google_ads,2026-09-07 14:03:16.198606,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP_CRITERION,UPDATE,cpcBidMicros,"Updated ad group criterion ""Leads-Search-1""; changed: cpcbidmicros"
google_ads,2026-09-07 14:02:10.77524,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP_CRITERION,UPDATE,cpcBidMicros,"Updated ad group criterion ""Leads-Search-1""; changed: cpcbidmicros"
google_ads,2026-09-07 13:55:59.414207,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP,UPDATE,cpcBidMicros,"Updated ad group ""Leads-Search-1""; changed: cpcbidmicros"
google_ads,2026-09-07 13:55:46.793535,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP,UPDATE,cpcBidMicros,"Updated ad group ""Leads-Search-1""; changed: cpcbidmicros"
google_ads,2026-09-07 13:55:36.380223,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP,UPDATE,cpcBidMicros,"Updated ad group ""Leads-Search-1""; changed: cpcbidmicros"
google_ads,2026-09-07 13:55:27.079007,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP,UPDATE,cpcBidMicros,"Updated ad group ""Leads-Search-1""; changed: cpcbidmicros"
google_ads,2026-09-07 13:55:18.322991,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP,UPDATE,cpcBidMicros,"Updated ad group ""Leads-Search-1""; changed: cpcbidmicros"
google_ads,2026-09-07 13:55:06.304207,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,AD_GROUP,UPDATE,cpcBidMicros,"Updated ad group ""Leads-Search-1""; changed: cpcbidmicros"
google_ads,2026-09-07 13:42:11.469295,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,CAMPAIGN_CRITERION,REMOVE,campaign;criterionId;negative;resourceName;status,"Removed campaign criterion ""Leads-Search-1""; changed: campaign, criterionid, negative, resourcename, status"
google_ads,2026-09-07 13:41:29.381551,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,CAMPAIGN_CRITERION,REMOVE,campaign;criterionId;negative;resourceName;status,"Removed campaign criterion ""Leads-Search-1""; changed: campaign, criterionid, negative, resourcename, status"
google_ads,2026-09-07 13:40:25.559503,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,CAMPAIGN_CRITERION,REMOVE,campaign;criterionId;negative;resourceName;status,"Removed campaign criterion ""Leads-Search-1""; changed: campaign, criterionid, negative, resourcename, status"
google_ads,2026-09-07 13:40:13.055087,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,CAMPAIGN_CRITERION,REMOVE,campaign;criterionId;negative;resourceName;status,"Removed campaign criterion ""Leads-Search-1""; changed: campaign, criterionid, negative, resourcename, status"
google_ads,2026-09-07 13:39:56.365535,drjake@pankanaturalhealth.com,Leads-Search-1,22767146837,CAMPAIGN_CRITERION,REMOVE,campaign;criterionId;negative;resourceName;status,"Removed campaign criterion ""Leads-Search-1""; changed: campaign, criterionid, negative, resourcename, status"
