Date,Campaignname,CampaignID,Campaignstatus,ConversionTrackerId,ConversionTypeName,ConversionCategory,ExternalConversionSource,Conversions,conversionsByConversionDate,EstimatedTotalConversions,allConversionsByConversionDate,ConversionValue,EstimatedTotalConversionValue,allConversionsValueByConversionDate,Viewthroughconversions,EstimatedCrossDeviceConversions
2025-07-15,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0,0,0,2,0,0,2,0,0
2025-07-15,Leads-Search-1,22767146837,enabled,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,12,9,12,9,12,12,9,0,0
2025-07-15,Leads-Search-1,22767146837,enabled,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,2,2,2,2,2,2,2,0,0
2025-07-15,Leads-Search-1,22767146837,enabled,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-15,Leads-Search-1,22767146837,enabled,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,2,2,0,2,2,0,0
2025-07-15,Leads-Search-1,22767146837,enabled,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,11,2,0,11,2,0,0
2025-07-15,Leads-Search-1,22767146837,enabled,7217291006,Calls from ads,Phone call lead,Calls from ads,0,0,1,1,0,1,1,0,0
2025-07-16,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0,0,0,3,0,0,3,0,0
2025-07-16,Leads-Search-1,22767146837,enabled,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,4,6,4,6,4,4,6,0,0
2025-07-16,Leads-Search-1,22767146837,enabled,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,2,2,2,2,2,2,2,0,0
2025-07-16,Leads-Search-1,22767146837,enabled,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-16,Leads-Search-1,22767146837,enabled,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,2,1,0,2,1,0,0
2025-07-16,Leads-Search-1,22767146837,enabled,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,2,11,0,2,11,0,0
2025-07-17,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0,0,0,1,0,0,1,0,0
2025-07-17,Leads-Search-1,22767146837,enabled,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,1,0,1,0,0,1,0,0
2025-07-17,Leads-Search-1,22767146837,enabled,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,2,2,2,2,2,2,2,0,0
2025-07-17,Leads-Search-1,22767146837,enabled,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,2,2,2,2,2,2,2,0,0
2025-07-17,Leads-Search-1,22767146837,enabled,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,3,4,0,3,4,0,0
