Campaignname,CampaignID,ExtensionType,Text,URL,Description1/Header,Description2
PNHdefense-Website traffic-Search-2,23888858069,sitelink,Meet Dr. Jacob Panka,https://www.pankanaturalhealth.com/meet-dr-jacob,"Brain, heart & men's health",Neuroscience & research-trained
PNHdefense-Website traffic-Search-2,23888858069,sitelink,Our Approach to Care,https://www.pankanaturalhealth.com/naturopathic-medicine,"Root-cause, whole-person care",Not just symptom relief
PNHdefense-Website traffic-Search-2,23888858069,sitelink,Functional Lab Testing,https://www.pankanaturalhealth.com/clinical-laboratory-tests,Tests other doctors skip,"Hormones, gut, thyroid & more"
PNHdefense-Website traffic-Search-2,23888858069,sitelink,New Patients,https://www.pankanaturalhealth.com/prepare-for-your-visit,Now accepting new patients,No referral needed
PNHdefense-Website traffic-Search-2,23888858069,sitelink,Contact Us,https://www.pankanaturalhealth.com/contact,"Hopkins, MN — call or email",HSA & FSA accepted
PNHdefense-Website traffic-Search-2,23888858069,callout,Family-Owned Since 2018,,,
PNHdefense-Website traffic-Search-2,23888858069,callout,Holistic Family Care,,,
PNHdefense-Website traffic-Search-2,23888858069,callout,Free 10-Min Intro Call,,,
PNHdefense-Website traffic-Search-2,23888858069,callout,"Unrushed, Two-Hour Visits",,,
PNHdefense-Website traffic-Search-2,23888858069,callout,Drs. Haley & Jacob Panka,,,
PNHdefense-Website traffic-Search-2,23888858069,structured_snippet,Naturopathic Medicine,,Service catalog,
PNHdefense-Website traffic-Search-2,23888858069,structured_snippet,Functional Lab Testing,,Service catalog,
PNHdefense-Website traffic-Search-2,23888858069,structured_snippet,Women's Health,,Service catalog,
PNHdefense-Website traffic-Search-2,23888858069,structured_snippet,Men's Health,,Service catalog,
PNHdefense-Website traffic-Search-2,23888858069,structured_snippet,Pediatrics,,Service catalog,
PNHdefense-Website traffic-Search-2,23888858069,structured_snippet,Cardiovascular Care,,Service catalog,
PNHdefense-Website traffic-Search-2,23888858069,image,242745196064,https://tpc.googlesyndication.com/simgad/4261429256885957392,,
PNHdefense-Website traffic-Search-2,23888858069,image,242816655799,https://tpc.googlesyndication.com/simgad/11083671305889101953,,
PNHdefense-Website traffic-Search-2,23888858069,image,242817094894,https://tpc.googlesyndication.com/simgad/2343022661589788341,,
PNHdefense-Website traffic-Search-2,23888858069,image,242817103246,https://tpc.googlesyndication.com/simgad/378777997263674057,,
PNHdefense-Website traffic-Search-2,23888858069,image,242817218335,https://tpc.googlesyndication.com/simgad/11514805319088448200,,
PNHdefense-Website traffic-Search-2,23888858069,image,242817422230,https://tpc.googlesyndication.com/simgad/16216933090792402630,,
PNHdefense-Website traffic-Search-2,23888858069,image,242857365546,https://tpc.googlesyndication.com/simgad/17398549883161050286,,
PNHdefense-Website traffic-Search-2,23888858069,image,258606116090,https://tpc.googlesyndication.com/simgad/7027610976659307389,,
PNHdefense-Website traffic-Search-2,23888858069,image,258628930655,https://tpc.googlesyndication.com/simgad/2472602563875674704,,
PNHdefense-Website traffic-Search-2,23888858069,image,258704710087,https://tpc.googlesyndication.com/simgad/14671652115122662328,,
PNHdefense-Website traffic-Search-2,23888858069,image,258704710159,https://tpc.googlesyndication.com/simgad/5628851415967919735,,
PNHdefense-Website traffic-Search-2,23888858069,image,258716640393,https://tpc.googlesyndication.com/simgad/18051618420198037007,,
PNHdefense-Website traffic-Search-2,23888858069,image,258739871736,https://tpc.googlesyndication.com/simgad/5999787084700868308,,
PNHdefense-Website traffic-Search-2,23888858069,image,258739881888,https://tpc.googlesyndication.com/simgad/7016316913073726673,,
PNHdefense-Website traffic-Search-2,23888858069,image,258739892010,https://tpc.googlesyndication.com/simgad/4555561091855912245,,
PNHdefense-Website traffic-Search-2,23888858069,image,270171084230,https://tpc.googlesyndication.com/simgad/15809822590550570877,,
PNHdefense-Website traffic-Search-2,23888858069,image,270171245120,https://tpc.googlesyndication.com/simgad/7252703652254538808,,
PNHdefense-Website traffic-Search-2,23888858069,image,270258852735,https://tpc.googlesyndication.com/simgad/12304285317205640817,,
PNHdefense-Website traffic-Search-2,23888858069,image,270259017513,https://tpc.googlesyndication.com/simgad/6003626421950632542,,
PNHdefense-Website traffic-Search-2,23888858069,image,366689946284,https://tpc.googlesyndication.com/simgad/13250030722479984488,,
PNHdefense-Website traffic-Search-2,23888858069,call,612-568-8382,,US,
Campaign #1,22625352639,sitelink,Clinical Labratory Tests,https://www.pankanaturalhealth.com/clinical-laboratory-tests,In-Depth Health Insights,Key to Personalized Care
Campaign #1,22625352639,sitelink,Free Intro Call,https://www.pankanaturalhealth.com/schedule-an-appointment,15-Min Chat With Our Team,Start Your Health Journey
Campaign #1,22625352639,call,(612) 568-8382,,US,
